"Business name","Phone","Email","Website","State","City","Address"
"Bento","415-862-3686","order@bento.delivery","http://www.bento.delivery","San Jose","California","San Jose, California US 95112"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","","San Jose","California","San Jose, California US 95124"
"MedMen Delivery - San Jose","(408) 298-8837","info.sanjose@medmen.com","https://medmen.com/stores/san-jose-central-n-10th-and-commercial","San Jose","California","San Jose, California US 95113"
"MINT XPRESS now Enjoymint","(408) 484-4644","info@enjoymintdelivered.com","http://www.mintxpress.net","San Jose","California","San Jose, California US 95128"
"Airfield Supply Company","408-320-0230","info@airfieldsupplyco.com","http://www.airfieldsupplyco.com/janemenu","San Jose","California","San Jose, California US 95050"
"California Patients Club - San Jose","(510) 342 - 9655","californiapatientsclub@gmail.com","http://www.californiapatientsclub.com","San Jose","California","San Jose, California US 95125"
"Go Medz","4089168446","GoMedz408@gmail.com","","San Jose","California","San Jose, California US 95126"
"The Members Only Club","(831) 754-8805","info@mocdelivery.com","http://www.mocdelivery.com","San Jose","California","San Jose, California US 95112"
"Le Shoppe","408-858-2422","leshoppecoop@gmail.com","","San Jose","California","San Jose, California US 95118"
"Overland","(844) 687-5263","info@overlanddelivery.com","","San Jose","California","San Jose, California US 94088"
"3PMLIVE","408 332 7817","*Venders*mmj@3pmlive.com","","South Bay","California","South Bay, California US 95124"
"Calis Finest Greens - Downtown San Jose","(408) 661-5362","calisfinestgreens@yahoo.com","","San Jose","California","San Jose, California US 95112"
"Bento - San Jose","415-862-3686","order@bento.delivery","http://www.bento.delivery","San Jose","California","San Jose, California US 95125"
"Bayshore now MINT XPRESS - San Jose","(408) 816-1365","info@mintxpress.net","http://www.mintxpress.net","San Jose","California","San Jose, California US 95128"
"Primo","831-200-3265","primopatients@gmail.com","","South Bay","California","South Bay, California US 95008"
"Stoney Land","408-483-6610","stoneyland408@gmail.com","","San Jose","California","San Jose, California US 95110"
"San Jose's Farmaceutical","4086200606","SanjoseFarmaceutical@gmail.com","","San Jose","California","San Jose, California usa 95112"
"Black Label Organics","(408) 417-8815","blacklabelorganics408@gmail.com","","San Jose","California","San Jose, California US 95122"
"United Pot Service","4158620590","ups420408@gmail.com","","San Jose","California","San Jose, California US 95110"
"Happy Xpress","408-430-3389","emailhappyxpress@gmail.com","","San Jose","California","San Jose, California US 95014"
"Ghost Delivery","408-908-9093","ghostdeliverysj@gmail.com","","San Jose","California","San Jose, California US 95008"
"Elev8","408-239-7336","00@00.com","","San Jose","California","San Jose, California US 95112"
"West Coast Medical Finest","(650) 450-3766","info@wcmfinest.org","http://www.wcmfinest.org","San Jose","California","San Jose, California US 95133"
"Calis Finest Greens - San Jose","(408) 661-5362","calisfinestgreens@yahoo.com","","San Jose","California","San Jose, California US 95112"
"Irie Care Delivery - San Jose","510-328-8896","IrieCareCollective@gmail.com","http://www.iriecaredelivery.com","San Jose","CA","San Jose, CA  95125"
"Calis Finest Greens - San Jose","(408) 6615362","calisfinestgreens@yahoo.com","","San Jose","California","San Jose, California US 95050"
"Cali Xpress","415-295-6999","99oz@calixpress.org","http://www.calixpress.com","San Jose","CA","San Jose, CA  94088"
"Blossom Delivery","408-745-9245","00@00.com","","San Jose","California","San Jose, California US 95128"
"High Standards","415-999-9999","HIGHSTANDARDS@GMAIL.COM","","San Jose","California","San Jose, California US 95126"
"C3 Delivery - San Jose","(510) 616-8381","C3DeliveryBay@gmail.com","http://www.C3Delivered.com","San Jose","California","San Jose, California US 95126"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","San Jose","California","San Jose, California US 95112"
"Elemental Wellness","408-433-3344 ext. 5","delivery@elementalwellnesscenter.com","http://elementalwellnesscenter.com/delivery","San Jose","California","San Jose, California US 95136"
"Le Shoppe","408-858-2422","leshoppecoop@gmail.com","","San Jose","CA","San Jose, CA USA 95111"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","San Jose","California","San Jose, California US 95118"
"Doc's Delivery","408-614-1786","darielg1977@outlook.com","","San Jose","California","San Jose, California US 95136"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","San Jose","CA","San Jose, CA US 95119"
"Arch Wellness","510-600-7948","arch.420.215@gmail.com","","San Jose","California","San Jose, California US 95125"
"Canna Culture Collective","(408) 264-7877","info@cannaculturecollective.com","http://cannaculturecollective.com/","San Jose","California","San Jose, California USA 95123"
"Purple Lotus Patient Center","408-456-0420","info@purplelotuspatientcenter.com","http://plpcsanjose.com","San Jose","California","San Jose, California US 95112"
"CBD Farmacy","4083804691","cbdfarmacyca@gmail.com","","San Jose","California","San Jose, California US 99999"
