"Business name","Phone","Email","Website","State","City","Address"
"Sticky Selections","619-504-1428","Stickyselection710@gmail.com","","San Marcos","California","San Marcos, California US 92078"
"Exclusive Budz","858.366.5381","ebdeliveryco@gmail.com","","San Marcos","California","San Marcos, California US 92025"
"West Coast Farms","7602016811","onthemove92084@gmail.com","","San Marcos","CA","San Marcos, CA  92024"
"Speedy Weedy Delivery","(657)-333-3336","info@speedyweedydelivery.com","https://speedyweedydelivery.com","San Marcos","California","San Marcos, California US 92069"
"Bud Rush","760-270-0036","budrush760@gmail.com","","Escondido","California","Escondido, California US 92029"
"Dankology- San Marcos","619-504-8134","DANKOLOGYSD@GMAIL.COM","","San Marcos","California","San Marcos, California US 92069"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","San Marcos","CA","San Marcos, CA USA 92069"
"Jah Healing Kemetic Temple of the Divine Church Delivery","(619) 654-0287","jahhealingtemple@gmail.com","","San Marcos","California","San Marcos, California US 92069"
"House Of Dank","619-383-4740","houseofdank@yahoo.com","","San Marcos","Ca","San Marcos, Ca (Select a country) 92078"
"Superfly Delivery","858-717-0563","superflydeliverysd@gmail.com","","Escondito","California","Escondito, California US 92025"
"Herbs & Meds","858-648-8678","herbsnmeds@gmail.com","","escondido","California","escondido, California US 92025"
"Cess","760-848-3631","cess@toke.com","","San Marcos","California","San Marcos, California US 92069"
"Duckys Meds","619-404-8705 ","duckys619@gmail.com","","San Marcos","California","San Marcos, California US 92027"
"Fuego Meds","619-396-4621","fuegomeds420@gmail.com","","San Marcos","California","San Marcos, California US 92078"
"Exclusive Deals","619-396-9462","exclusivedeals2@gmail.com","","San Marcos","California","San Marcos, California US 92069"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","All of North County","California","All of North County, California US 92025"
"Better Daze San Marcos / Escondido","619-876-3269","betterdazecollective@gmail.com","","San Marcos","California","San Marcos, California US 92069"
"Releaf Delivery","858-880-7355","releaf@outlook.com","http://www.releafdelivery.net","San Marcos","CA","San Marcos, CA  92069"
"Super Nova Meds","619-322- 8087","supernovameds@yahoo.com","","San Marcos","California","San Marcos, California US 92029"
"Quality Control Meds","619-536-5744","qcontrol95@gmail.com","","escondido","California","escondido, California US 92026"
"Budzilla","6198360619","BudzillaSD619@protonmail.com","","Escondido","CA","Escondido, CA USA 92069"
"$100.00 Oz","619-653-4122","iwholesalemedical@icloud.com","","San Marcos","CA","San Marcos, CA  92069"
