"Business name","Phone","Email","Website","State","City","Address"
"Bento - San Mateo","415-862-3686","order@bento.delivery","http://www.bento.delivery","San Mateo","California","San Mateo, California US 94062"
"Lakeside Remedy - San Mateo","510-309-6981","lakesideremedy@gmail.com","http://www.lakesideremedy.com","San Mateo","California","San Mateo, California US 94002"
"MINT XPRESS now Enjoymint","(650) 458-0272","info@enjoymintdelivered.com","http://www.mintxpress.net","San Mateo","California","San Mateo, California US 94015"
"Cannabis Express- San Mateo","415-915-9263","contact@cannabisexpress.com","http://www.CannabisExpress.com","San Mateo","CA","San Mateo, CA  94010"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","","Redwood City","California","Redwood City, California US 94061"
"Community Wellness Center","(831) 221-6207","info@santacruzcwc.com","https://www.communitywellness.center/","San Mateo","California","San Mateo, California US 94401"
"CEAS - San Mateo","650-556-5135","info@ceascollective.org","http://ceascollective.org","The Peninsula","California","The Peninsula, California US 94403"
"Marie's Deliverables - San Carlos","650-716-6116","cbd@mariesdeliverables.com","http://www.mariesdeliverables.com","San Carlos","CA","San Carlos, CA USA 94063"
"Overland","(844) 687-5263","info@overlanddelivery.com","","San Mateo","California","San Mateo, California US 94010"
"Calico Buds RX","650-213-2491","CalicoBudsRX@gmail.com","","Redwood City","California","Redwood City, California US 94063"
"Harvest Bloom - Woodside","(844) 811-1822","hello@getharvestbloom.com","https://getharvestbloom.com","Woodside","CA","Woodside, CA  94062"
"10 Collective","(415) 966- 5941","10collectivellc@gmail.com","https://10collective.org/","Redwood City","California","Redwood City, California US 94061"
"Natural Green ReLeaf","1-888-344-2019","info@ngr-sf.com","http://NGR-SF.com","San Mateo","California","San Mateo, California US 94002"
"BadFish - San Mateo","8082193429","badfishincorporated@gmail.com","","San Mateo","California","San Mateo, California US 94403"
"Bento - San Mateo","415-862-3686","order@bento.delivery","http://www.bento.delivery","Foster City","California","Foster City, California US 94404"
"All Bay now MINT XPRESS - San Mateo","(408) 606-9544","info@mintxpress.net","http://www.mintxpress.net","San Mateo","California","San Mateo, California US 94402"
"Family Roots Delivery San Mateo","650-771-5609","info@familytreedelivery.com","http://www.familytreedelivery.com","San Mateo","CA","San Mateo, CA  94404"
"Buzz Delivery","(844) 420-2899","info@buzzdelivery.org","http://www.buzzdelivery.org/","San Mateo","California","San Mateo, California US 94402"
"Family Roots Delivery","650-771-5609","info@familytreedelivery.com","http://www.familytreedelivery.com","Half Moon Bay","CA","Half Moon Bay, CA  94019"
"Phog Center Half Moon Bay","844-504-8771","info@phogcenter.com","http://www.Phogcenter.com","Half Moon Bay","CA","Half Moon Bay, CA  94019"
"Cali Xpress","415-295-6999","99oz@calixpress.org","http://www.calixpress.com","San Mateo","CA","San Mateo, CA  9440"
"INDIKA","(415) 988-0263","indikamcc@gmail.com","http://indikamcc.com","San Mateo","California","San Mateo, California US 94403"
"Bliss","(650)703-7474","blissdelivery650@gmail.com","","San Mateo","California","San Mateo, California US 94010"
"Fresh Mint","(510) 692-5365","freshmintmd@gmail.com","http://www.freshmintmd.com","Belmont","California","Belmont, California US 94070"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","San Carlos","CA","San Carlos, CA USA 94070"
"Green Bay Collective","(650)257-0313","greenbaycollective@gmail.com","","San Mateo","Ca","San Mateo, Ca  94403"
"Phog Center - San Mateo"," 844-504-8771","Info@phogcenter.com","http://www.phogcenter.com","Hillsborough","CA","Hillsborough, CA  94010"
"Green Bay Collective","(650)257-0313","greenbaycollective@gmail.com","","San Mateo","Ca","San Mateo, Ca USA 94010"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","San Mateo","CA","San Mateo, CA  94403"
"Silicon Valley Medicinal","650-284-6262","siliconvalleymedicinal@gmail.com","http://www.svmedicinal.org","Hillsborough","California","Hillsborough, California US 94010"
"Highwayz","415-754-5443","Highwayz.co@gmail.com","http://highwayz.co","San Mateo","California","San Mateo, California US 94010"
"Bay Care Delivery","415-647-7520","baycaredelivery@gmail.com","","Burlingame","CA","Burlingame, CA  94010"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","Redwood City","Ca","Redwood City, Ca  94061"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","Milbrae","CA","Milbrae, CA US 94030"
"Enjoymint - Half Moon Bay","(408) 831-3763","info@enjoymintdelivered.com","","Half Moon Bay","California","Half Moon Bay, California US 90001"
"Budee","9259532850","contact@budee.org","http://www.budee.org","Redwood City","California","Redwood City, California US 94062"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","San Mateo","California","San Mateo, California US 94403"
"Herbi","844-464-3724","support@herbi.com","http://herbi.com","San Mateo","California","San Mateo, California US 94403"
"Highwayz","415-754-5443","Highwayz.co@gmail.com","http://highwayz.co","San Mateo","California","San Mateo, California US 94401"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","Burlingame","CA","Burlingame, CA US 94010"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","Belmont","CA","Belmont, CA US 94002"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","San Mateo","CA","San Mateo, CA US 94403"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","San Mateo","California","San Mateo, California US 94010"
"JAHNETICS","4155243561","jahnetics.official@gmail.com","http://www.jahnetics.com","San Mateo","CA","San Mateo, CA USA 94403"
"Frosty Flowers Delivery","510-306-1083","Info@frostyflowersdelivery.com","https://potify.net/promo/frosty-flowers-delivery-oakland","San Mateo","California","San Mateo, California US 94401"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","San Mateo","CA","San Mateo, CA US 94401"
"Green On The Go - San Mateo","510-688-4396","greenonthego7@gmail.com","","Foster City","California","Foster City, California US 94404"
"SFFOGG","4158964271","sffogg@gmail.com","http://www.sffogg.com/","San Mateo","California","San Mateo, California US 94010"
"Elemental Wellness- San Mateo","408-433-3344 ext. 5","delivery@elementalwellnesscenter.com","https://elementalwellnesscenter.com","Redwood City","California","Redwood City, California US 94063"
