"Business name","Phone","Email","Website","State","City","Address"
"Taste of Marin","(628) 202-6933","tastedelivery@outlook.com","","Marin","California","Marin, California US 94941"
"Flowsent - San Rafael","510-545-4633","orders@flowsent.com","https://flowsent.com/hello","San Rafael","CA","San Rafael, CA  94901"
"Bay Area Meds","415-526-3285","vhhc420@gmail.com","http://vhhc420.org","Marin","California","Marin, California US 94903"
"California Best Genetics","415-323-6274","marincannaorder@gmail.com","https://www.calibestgenetics.com/","Mill Valley","California","Mill Valley, California US 94941"
"Firefly Marin","415-785-7377","info@fireflymarin.com","http://fireflymarin.com","Larkspur","California","Larkspur, California US 94939"
"MarinMedz","415-434-1700","marinmedz@protonmail.com","","San Rafael","California","San Rafael, California US 94901"
"Cali Coast Delivery","510-325-6617","registration@calicoast420.com","http://www.calicoast420.com","Marin","California","Marin, California US 94901"
"Nice Guys Delivery","(415) 855-5914","niceguysdelivery415@gmail.com","http://niceguysdelivery.com","San Rafael","CA","San Rafael, CA  94901"
"Marin Gardens","1-415-871-9962","Info@MarinGardens.org","http://Maringardens.org","San Rafael","CA","San Rafael, CA  94901"
"Moonflower","(707) 760-9566","info@moonflowerdelivery.com","http://www.moonflowerdelivery.com","Marin","California","Marin, California US 94903"
"Kine2b","415-505-7066","kine2bmarin@gmail.com","http://www.kine2b.com","Fairfax","California","Fairfax, California US 94930"
"Highway 420","415-246-7995","highway420meds@gmail.com","","Novato","California","Novato, California US 94901"
"E-leaf","415-943-1420","info@eleaf.club","","San Rafael","California","San Rafael, California US 94901"
"Golden State Canna","5109934535","GoldenStateCann@Gmail.Com","","Corte Madera","CA","Corte Madera, CA  94925"
"Golden State Canna","5109934535","GoldenStateCann@Gmail.Com","","Mill Valley","CA","Mill Valley, CA  94941"
"Cookie King Delivery","415-756-1474","cookiekingsdelivery@gmail.com","","San Rafael","CA","San Rafael, CA  94901"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Marin","California","Marin, California US 94901"
"Firefly Marin","415-785-7377","info@fireflymarin.com","http://fireflymarin.com","Novato","California","Novato, California US 94949"
"Flowsent","510-545-4633","orders@flowsent.com","https://flowsent.com/hello","Novato","Ca","Novato, Ca  94947"
"Flowsent - Sausalito","510-545-4633","orders@flowsent.com","https://flowsent.com/hello","Sausalito","California","Sausalito, California US 94965"
"Flowsent","510-545-4633","orders@flowsent.com","https://flowsent.com/hello","Tiburon","CA","Tiburon, CA  94920"
"Nice Guys Delivery","(415) 855-5914","niceguysdelivery415@gmail.com","http://niceguysdelivery.com","sausalito","California","sausalito, California US 94965"
"MarinMedz"," 415-434-1700","marinmedz@protonmail.com","","Novato","CA","Novato, CA USA 94947"
"Flowsent - Mill Valley","510-545-4633","orders@flowsent.com","https://flowsent.com/hello","Mill Valley","California","Mill Valley, California US 94941"
"Flowsent - Terra Linda","510-545-4633","orders@flowsent.com","https://flowsent.com/hello","San Rafael","California","San Rafael, California US 94903"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Marin","California","Marin, California US 94941"
