"Business name","Phone","Email","Website","State","City","Address"
"MedMen Delivery - Santa Ana","(714) 515-8506","info.oc@medmen.com","https://medmen.com/stores/orange-county-santa-ana/","Santa Ana","California","Santa Ana, California US 92704"
"Puffy Delivery","714-592-1845","support@puffydelivery.com","http://puffydelivery.com","Santa Ana","California","Santa Ana, California US 92701"
"Clarity California Cannabis","(657) 254-6496","Michael@ObtainClarity.Com","","Santa Ana","CA","Santa Ana, CA (Select a country) 92704"
"Blum Delivery - Santa Ana","949-238-4203","ca-info@letsblum.com","http://www.letsblum.com/shop-blum","Santa Ana","California","Santa Ana, California US 92704"
"Straight Fire","657-722-9436","straightfire.oc@gmail.com","","Westminster","California","Westminster, California US 92706"
"OCPC","(949) 752-6272","ocpcdelivery123@gmail.com","http://www.orangecountyspatientcare.com/","Santa Ana","CA","Santa Ana, CA USA 92705"
"Green Tree Remedy - Santa Ana","3238005420","sales@greentreeremedy.com","","Santa Ana","Ca","Santa Ana, Ca  92704"
"Euphorik Drop","(949) 394-1426","EuphorikDrop@gmail.com","","Santa Ana","California","Santa Ana, California US 92704"
"KUSHAGRAM - Santa ANA","949-750-2003","Donations@kushagram.com","","Santa Ana","California","Santa Ana, California US 92706"
"SKY HIGH HOLISTIC DELIVERY","(714) 230-5075","skyhighholistic@gmail.com","","Santa Ana","California","Santa Ana, California US 92705"
"Pure Fire Delivery","7145830925","purefiredelivery@gmail.com","","Santa Ana","CA","Santa Ana, CA USA 92706"
"The Spot 714","(714) 675-2835","sathespot@gmail.com","","Santa Ana","California","Santa Ana, California US 92706"
"Golden Leaf","(909) 720-0205","goldenleaftopshelf@gmail.com","http://goldenleaf420.com","Santa Ana","California","Santa Ana, California US 92701"
"Juicebox Cartel","(310) 998-7507","jc@juiceboxcartel.com","https://juiceboxcartel.com/about-4/","Santa Ana","California","Santa Ana, California US 92707"
"KUSHAGRAM","949-750-2003","donations@kushagram.com","","Santa Ana","California","Santa Ana, California US 92707"
"Gold and Green Cannabis Delivery","714-349-4175","goldgreendelivery@gmail.com","","Tustin","California","Tustin, California US 92705"
"The House Of Ounces","657-289-8133","TheOChouseofounces@gmail.com","","Santa Ana","California","Santa Ana, California US 92801"
"AGT - Santa Ana","949-533-5223","alphagardentech@gmail.com","http://agt420.com/","Garden Grove","California","Garden Grove, California US 92841"
"Kingdom Of Ounces","657-271-5372","Kingdomofounces@gmail.com","","Santa Ana","California","Santa Ana, California US 92704"
"Root215 - Santa Ana","562-228-4408","root215delivery@gmail.com","","Santa Ana","CA","Santa Ana, CA  92707"
"KUSHAGRAM","949-750-2003","donations@kushagram.com","http://kushagram.com","Santa Ana","California","Santa Ana, California US 92704"
"1Stop OC-Newport Beach","714-585-5657","santaanapc@gmail.com","","Newport Beach","CA","Newport Beach, CA  92663"
"Euphorik Drop","(949) 394-1426","EuphorikDrop@gmail.com","","Santa Ana","California","Santa Ana, California US 92704"
"GreenGo","7148898103","GreenGoDeliveries@gmail.com","","Santa Ana","California","Santa Ana, California US 92705"
"Strain Delivery - Santa Ana","1-714-631-0425","stoneydeliveryservice@gmail.com","","Santa Ana","CA","Santa Ana, CA  92705"
