"Business name","Phone","Email","Website","State","City","Address"
"Green Cuisine Delivery Santa Barbara","(844) 347-3360","gcdsignup@gmail.com","http://GreenCuisineCalifornia.com","Santa Barbara","Ca","Santa Barbara, Ca  93101"
"Group Health Clinic Coop","(805) 444-8073","ghccinc@gmail.com","","Santa Barbara","CA","Santa Barbara, CA  93103"
"Santa Barbara Collective","8057050656","info@sbcollective.net","","Santa Barbara","CA","Santa Barbara, CA USA 93105"
"Greenbridge Patient Collective","(805) 722-7150","greenbridge@rocketmail.com","","Santa Barbara","CA","Santa Barbara, CA  93105"
"LEAF","(805) 430-4204","leafdelivers@gmail.com","http://www.calileaf.com","Santa Barbara","California","Santa Barbara, California US 93110"
"Savor","(805) 450-4265","info@savorsb.com","http://savorsb.com","Santa Barbara","California","Santa Barbara, California US 93101"
"Soul Buds - Santa Barbara","(805) 257-1717 ","support@soulbuds.com","","Santa Barbara","California","Santa Barbara, California US 93101"
"Garden Of Eden - Santa Barbara","805-252-1107","gardenofeden805@gmail.com","http://www.gardenofeden805.com","Santa Barbara","California","Santa Barbara, California US 93101"
"The Sensible Source","805-451-5723","thesensiblesource@gmail.com","","Santa Barbara","CA","Santa Barbara, CA  93109"
"Santa Barbara Wild Flower","805-259-6044","wildflower.sb.805@gmail.com","http://www.santabarbarawildflower.com","Santa Barbara","CA","Santa Barbara, CA  93105"
"Golden State Canna","8312018108","GoldenStateCann@Gmail.Com","","Santa Barbara","California","Santa Barbara, California US 93110"
