"Business name","Phone","Email","Website","State","City","Address"
"831 Delivery - Santa Cruz","888-575-1323","support@lyfted.co","http://www.831.delivery","Santa Cruz","California","Santa Cruz, California  95062"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","","Santa Cruz","California","Santa Cruz, California US 95060"
"Curbstone Exchange - Delivery","831-704-7151","curbstoneexchange@gmail.com","http://curbstoneexchange.org","Santa Cruz","CA","Santa Cruz, CA  95018"
"Golden State Pressing","831 313 7370","goldenstatepressing@gmail.com","","Santa Cruz","CA","Santa Cruz, CA  95060"
"Community Wellness Center","(831) 221-6207","info@santacruzcwc.com","https://www.communitywellness.center/","Santa Cruz","California","Santa Cruz, California US 95060"
"Door Rush 420","1-866-787-4420","orders@doorrush420.com","http://doorrush420.com","Santa Cruz","California","Santa Cruz, California US 95060"
"Watsonville's Farmaceutical","(831)710-1442","Watsonvillesfarmaceutical@gmail.com","","Watsonville","California","Watsonville, California US 95072"
"Santa Cruz Farmaceutical","8317101136","Santacruzfarmaceutical@gmail.com","","Santa Cruz","CA","Santa Cruz, CA (Select a country) 95060"
"BioMass Gardens","5104993681","BioMassGardens@gmail.com","http://BioMassGardens.Com","Santa Cruz","CA","Santa Cruz, CA USA 95060"
"Chronmeds 831 - Watsonville","(408) 854-2938","chronmeds831@gmail.com","","Watsonville","CA","Watsonville, CA  95076"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Santa Cruz","California","Santa Cruz, California US 95060"
"Community Wellness Center","(831) 221-6207","info@santacruzcwc.com","https://www.communitywellness.center/","Watsonville","California","Watsonville, California US 95076"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Live Oak","California","Live Oak, California US 95062"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Santa Cruz","California","Santa Cruz, California US 95039"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Santa Cruz","California","Santa Cruz, California US 95076"
"Overland","(844) 687-5263","info@overlanddelivery.com","","Santa Cruz","California","Santa Cruz, California US 95060"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Santa Cruz","California","Santa Cruz, California US 95076"
