"Business name","Phone","Email","Website","State","City","Address"
"CanEx Delivery","(310) 384-8880","CanexDelivery@gmail.com","http://www.canexdelivery.org","Sherman Oaks","California","Sherman Oaks, California US 91411"
"Urban Treez Delivery","844-688-7339","Contact@UrbanTreez.com","http://www.urbantreez.com","Sherman Oaks","California","Sherman Oaks, California US 91604"
"Golden Leaf","818-699-4541","weedmaps@goldenleaf420.com","http://www.goldenleaf420.com","studio city","California","studio city, California US 91602"
"OrangeLeaf","818-572-5156 ","orangeleaf2007@gmail.com","","Studio City","California","Studio City, California US 91604"
"Compassion Union","323-818-2837","compassionun@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91403"
"SUGAR","2134319420","sugarbuds18@gmail.com","","studio city","California","studio city, California US 91404"
"Green Panda Express","818- 747-0514","Greenpandaexpress90@yahoo.com","","sherman oaks","CA","sherman oaks, CA  91423"
"Top Shelf California","323-494-8861","TopShelfDeliveryServices@gmail.com","http://topshelf.delivery","Los Angeles","CA","Los Angeles, CA USA 90048"
"GRASSDOOR","310-749-9135","support@grassdoor.com","http://www.grassdoor.com","Sherman Oaks","California","Sherman Oaks, California US 91423"
"Trap House Delivery","323-346-7248","ttraphouseboyz@gmail.com","","Studio City","California","Studio City, California US 92604"
"California Spirit","818-514-3000","Californiaspirit0@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91401"
"DEALS ON WHEELS","8187477096","dealsonwheelsla@gmail.com","","STUDIO CITY","California","STUDIO CITY, California US 91604"
"RUSH","818-927-9923","rushdeliveryla@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91423"
"Tasty Farms Delivery - Sherman Oaks","(818) 388-1920","tastyfarmsdelivery@gmail.com","http://www.tastyfarmsdelivery.com","Sherman Oaks","California","Sherman Oaks, California US 91403"
"Magna Med","TEXT (747) 201-0802","magnamed@yahoo.com","","Studio City","California","Studio City, California US 91423"
"DR Kush Delivery 🔥","(818) 855-0602","drkushdelivery@gmail.com","","Sherman Oaks","CA","Sherman Oaks, CA  91403"
"Level Up Delivery","3238730777","level420delivery@gmail.com","","Studio City","California","Studio City, California US 91604"
"Cloud Nine Delivery","213-760-6102","cloud9delivery@aol.com","","Studio City","CA","Studio City, CA  91604"
"Green Ways Delivery","(818)478-6473","greenways323@yahoo.com","","Sherman Oaks","California","Sherman Oaks, California US 91423"
"Green Guest - Sherman Oaks","(424) 362-6244 ","jordangest1@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91423"
"Bronto Delivery","323-487-9333","brontodelivery@gmail.com","http://www.brontodelivery.com","Sherman Oaks","California","Sherman Oaks, California US 91423"
"BudExpress","3237902727","bigbudexpress@gmail.com","","Studio City","CA","Studio City, CA  91604"
"Post Meds","818-747-3046","POSTMED420@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91423"
"Whisper Weed","818-815-1983","whisperweeddelivery@gmail.com","","Studio City","CA","Studio City, CA USA 91604"
"Studio City Flower Delivery","3239877097","studiocityflowerdelivery@outlook.com","http://www.longbeachflowersdelivery.com","Studio City","California","Studio City, California  91604"
"DR Kush Delivery","(818) 855-0602","drkushdelivery@gmail.com","","Sherman Oaks","CA","Sherman Oaks, CA  91406"
"Deluxe Caregivers","818-427-6706","DeluxeCaregiversDS@gmail.com","","Studio City","CA","Studio City, CA USA 91604"
"Daily Dose Delivery","TEXT 818-274-6453","dailydosedelivery818@gmail.com","","Studio City","California","Studio City, California US 91423"
"AceBuds","8189153311","Acebuds19@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91403"
"iWeed","747-203-5085","iweed007@gmail.com","https://iweed.me/","Sherman Oaks","California","Sherman Oaks, California US 91604"
"BudHut","818 739 9008","budhutla@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91403"
"Med City Delivery - Studio City / Sherman Oaks","3233358623","420citydelivery@gmail.com","","Studio City","California","Studio City, California US 91604"
"BudHut","818-739-9008","budhutla@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91403"
"Crystal Cannabis","626-689-5142","Crystalcannabisla@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91604"
"Exhalence","(818) 394-9094","exhalencedelivery@gmail.com","","Studio City","California","Studio City, California US 91614"
"The Spot Delivery- Studio City","747-998-9199","TheSpotDelivery818@yahoo.com","","Studio City","California","Studio City, California US 91604"
"Starleaf - Sherman Oaks","501-550-5055","starleaf@yahoo.com","","Sherman Oaks","CA","Sherman Oaks, CA  91607"
"ASAP BUDZ","747-900-3357","asapbudz420@hotmail.com","","Sherman Oaks/ Studio City","California","Sherman Oaks/ Studio City, California US 91604"
"Starleaf - Studio City","501-550-5055","starleaf@yahoo.com","","Studio City","California","Studio City, California US 91604"
"LA's Finest","323-482-4218","lasfinest215@gmail.com","","Sherman Oaks","CA","Sherman Oaks, CA  91403"
"Emberz Delivery","3109350063","emberzdelivery@gmail.com","https://emberzdelivery.com/","Sherman Oaks","California","Sherman Oaks, California US 91423"
"8th Wonder Delivery","8183128900","8thwonderdelivery@gmail.com","","Valley Village","California","Valley Village, California US 91607"
"Cloud 420 Delivery","818-270-0979","cloud420w@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91604"
"FLOWER CO.","415-360-0896","hello@flowercompany.com","https://www.flowercompany.com","Sherman Oaks","California","Sherman Oaks, California US 91423"
"Canoga Budz Delivery","(747) 214 - 9421","Canoga0800@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91403"
"Joy Delivery","818-423-3744","joydelivered420@gmail.com","","Sherman Oaks","California","Sherman Oaks, California US 91423"
"Kush Mobile","3232078089","qnicorporation@gmail.com","","Studio City","California","Studio City, California US 91604"
