"Business name","Phone","Email","Website","State","City","Address"
"BLK Deliveries","8188788868","Weareblk.info@gmail.com","http://Blkdelivery.com","Simi Valley","CA","Simi Valley, CA  93065"
"The Gas Station - Delivery Service","(818) 799-6168","DeliveryGasStation@Gmail.com","","Simi Valley","California","Simi Valley, California US 93063"
"Golden leaf","805-405-7615","weedmaps@goldenleaf420.com","http://goldenleaf420.com","Simi Valley","California","Simi Valley, California US 93065"
"Emberz Delivery","3109350063","emberzdelivery@gmail.com","http://emberzdelivery.com","Simi Valley","California","Simi Valley, California US 93065"
"Royal Kush","805-608-0858","royalkush2019@gmail.com","","Simi Valley","California","Simi Valley, California US 93065"
"Organic Solutions","805-638-9381","OrganicsolutionsCA@yahoo.com","","Simi Valley","CA","Simi Valley, CA  93065"
"LA Rush - Simi Valley","(818) 724-9797","larush818@gmail.com","","Simi Valley","CA","Simi Valley, CA USA 93063"
"Platinum Genetics Delivery","805-261-9640","Platinumgeneticsdelivery@gmail.com","https://weedmaps.com/deliveries/platinum-genetics-delivery","Moorpark","California","Moorpark, California US 93065"
"Thousand Buds","8053729549","Flowersflav37@gmail.com","","Simi Valley","California","Simi Valley, California US 93065"
"Cali Coast Delivery","805-980-8293","registration@calicoast420.com","http://www.calicoast420.com","Simi Valley","California","Simi Valley, California US 93065"
"SeeMeeGreen - Simi Valley - Moorpark","(805) 813-4031","SeeMeeGreen@gmail.com","","Simi Valley","CA","Simi Valley, CA  93065"
"Deals on Greens - DOG","(424) 268 6911","dealsongreen@yahoo.com","","Simi Valley","CA","Simi Valley, CA USA 93063"
"Green HEMPire","8188368995","greenhempire19@gmail.com","","Simi Valley","California","Simi Valley, California US 99999"
"Fresh Meds Delivery","424-362-8099","hoktemberyan1987@gmail.com","","Simi Valley","California","Simi Valley, California US 93065"
"Cali Green Express","(818) 855-2919","caligreenexpress@gmail.com","http://CaliGreenExpress.com","Simi Valley","California","Simi Valley, California  93063"
"Cali Green Express","(818) 855-2919","caligreenexpress@gmail.com","http://CaliGreenExpress.com","Simi Valley","CA","Simi Valley, CA  93065"
"My Buds","323-452-1313","Tbd@gmail.com","","Simi Valley","California","Simi Valley, California US 93065"
"Flawless Buds","(323)250-8626","flawlessbuds@gmail.com","","Simi Valley","California","Simi Valley, California US 93063"
"Chronic Releaf","3104323076","elementfxtec@gmail.com5556","","Simi Valley","California","Simi Valley, California US 93063"
"Firehouse Caregivers Moorpark","805-901-0121","firehousecaregivers@gmail.com","","Moorpark","CA","Moorpark, CA USA 93021"
"Firehouse Caregivers Simi Valley","805-901-0121","firehousecaregivers@gmail.com","","Simi Valley","CA","Simi Valley, CA USA 93063"
"Fire Bud","818-581-9554","firebudindustries@gmail.com","","Simi Valley","California","Simi Valley, California US 93021"
"Pineapple Express","877 WE-DELIVER","support@pineappleexpress.com","https://pineappleexpress.com/?utm_source=weedmaps&utm_medium=affiliate&utm_campaign=simi_valley","Simi Valley","CA","Simi Valley, CA  93063"
"THE HEALING TOUCH Delivery","(818) 881-1462","delivery@thtcannabis.com","https://www.thtcannabis.com","Simi Valley","California","Simi Valley, California US 93065"
"Divine Wellness Delivery","(310)734-8463","divinewellnesscenter@gmail.com","https://divinewellnessla.com/view-menu/","Simi Valley","California","Simi Valley, California US 93063"
"Deluxe Caregivers","818-427-6706","deluxecaregiversds@gmail.com","","Simi Valley","California","Simi Valley, California US 93062"
"DC Delivers","818-887-0980","info@dccollective.com","http://www.dccollective.com","Simi Valley","California","Simi Valley, California US 93065"
