"Business name","Phone","Email","Website","State","City","Address"
"THE W COLLECTIVE Delivery","1 (310) 567-0752","wproductionshq@gmail.com","","Wilmington","California","Wilmington, California US 90744"
"TriComb Therapies","(760) 490-6689","TriCombTherapies@gmail.com","http://www.tricombtherapy.com","Victorville","California","Victorville, California US 92395"
"WeedBell Delivery- Fontana","(909)359-8432","hello@weedbell.com","http://www.weedbell.com","Fontana","California","Fontana, California US 92336"
"WeedBell Delivery - Corona","(909)359-8432","hello@weedbell.com","http://WeedBell.com","Corona","California","Corona, California  92879"
"Empire Delivery - Modesto","(209) 589-6475","empirehealthandwellness64@gmail.com","http://www.empirehw.com","Modesto","California","Modesto, California US 95354"
"WeedBell Delivery - Riverside","(909)774-6132","hello@weedbell.com","http://WeedBell.com","Riverside","California","Riverside, California USA 92506"
"Sticky Selections","619-504-0065","Stickyselection710@gmail.com","","Carlsbad","California","Carlsbad, California US 92011"
"True Meds Delivery Incorporated","1619 332 9597","truemedsdelivery@gmail.com","","North Park","CA","North Park, CA  92116"
"WeedBell Delivery - Perris","9514098388","hello@weedbell.com","http://weedbell.com","Perris","California","Perris, California US 92571"
"Bento - Sunnyvale / Cupertino","415-862-3686","order@bento.delivery","http://www.bento.delivery","Sunnyvale","CA","Sunnyvale, CA  94087"
"NorCal Holistics","(916) 993-5361 ","orders@norcalholistics.org","http://www.norcalholistics.org","Roseville","California","Roseville, California US 95678"
"Fly Delivery - Glendale","(323) 905-4359","flydelivery@yahoo.com","https://weedmaps.com/deliveries/fly-delivery-3","Glendale","CA","Glendale, CA United States 91206"
"True Meds Delivery Incorporated","619-332-9597","truemedsdelivery@gmail.com","","Mission Valley","CA","Mission Valley, CA  92104"
"Sticky Selections","6194937746","Stickyselection710@gmail.com","","Oceanside","California","Oceanside, California US 92054"
"Sticky Selections","7606172340","Stickyselection710@gmail.com","","Vista","California","Vista, California US 92083"
"High Tide Organics","310-853-0805","info@hightideorganics.org","http://www.hightideorg.com","Hermosa Beach","Ca","Hermosa Beach, Ca (Select a country) 90254"
"BudEx Delivery - Ontario / Montclair","626-425-0432","sgvbudex@yahoo.com","","Ontario","CA","Ontario, CA  91762"
"Empire Delivery - Manteca / Lathrop","(209) 589-6475","empirehealthandwellness64@gmail.com","http://www.empirehw.com","Manteca","California","Manteca, California US 95336"
"The Green Apple","(951)-492-2376","greenapplehemet420@gmail.com","http://www.GreenAppleHemet.com","Hemet/San Jacinto","CA","Hemet/San Jacinto, CA United States 92544"
"M.DOT","586-985-0294","mdotservices710@gmail.com","","Macomb County","MI","Macomb County, MI  48315"
"Fiori Delivery","(916) 407-3731","sales@fioridelivery.com","http://www.fioridelivery.com","Citrus Heights","California","Citrus Heights, California US 95825"
"Bento - Fremont","415-862-3686","order@bento.delivery","http://www.bento.delivery","Fremont","","Fremont, US 94555"
