"Business name","Phone","Email","Website","State","City","Address"
"High Tide Organics","310-853-0805","info@hightideorganics.org","http://www.hightideorg.com","Hermosa Beach","Ca","Hermosa Beach, Ca (Select a country) 90254"
"GRASSDOOR","310.749.9135","support@grassdoor.com","http://www.grassdoor.com","Manhattan Beach","CA","Manhattan Beach, CA (Select a country) 90266"
"Mr Nugget","310-863-1937","mrnuggetdelivers@gmail.com","https://weedmaps.com/dispensaries/mr-nugget","South Bay","CA","South Bay, CA  Delivery"
"ganjarunner","1-855-554-2652","contact@ganjarunner.com","http://ganjarunner.com","South Bay","California","South Bay, California US 90254"
"Stone Age Farmacy Delivery - South Bay","(424) 368-1476","orders@stoneagefarmacy.com","https://stoneage.delivery","Gardena","California","Gardena, California US 90247"
"Canna Harbor -South Bay","1-424-305-4416","elevateharborcitydelivery@gmail.com","","South Bay","California","South Bay, California US 90266"
"Higher Purpose Delivery - South Bay","(310) 561-9192","hpdsouthbay@gmail.com","http://HPDSOUTHBAY.COM","Manhattan Beach","California","Manhattan Beach, California US 90266"
"Divine Choice Delivery","562-743-9352","divinechoicedelivery@outlook.com","","Manhattan Beach","California","Manhattan Beach, California US 90266"
"MoonDoogies","310-421-8711","Covererdinrootss@gmail.com","","South Bay","California","South Bay, California US 90254"
"Golden Leaf","(424) 444-3363","weedmaps@goldenleaf420.com","http://goldenleaf420.com","Manhattan Beach","California","Manhattan Beach, California US 90266"
"Top Flight Organics - South Bay","323-219-1394","topflightorganics@gmail.com","","Hermosa Beach","California","Hermosa Beach, California US 90254"
"Mr Nugget","310-863-1937","mrnuggetdelivers@gmail.com","","South Bay","CA","South Bay, CA  90278"
"FAST and FRIENDLY","310-870-7115","fastandfriendlydeliveries@gmail.com","http://fastandfriendly.us/","Hermosa Beach","California","Hermosa Beach, California US 90254"
"Puffy Delivery","628-561-4046","support@puffydelivery.com","http://puffydelivery.com","Hermosa","California","Hermosa, California US 90254"
"THC Taxi","(323) 973-8608","thctaxi88@gmail.com","","Lawndale","California","Lawndale, California US 90260"
"Certafarm Delivery","310-200-9330","NoEmail!@gmail.com","","Hermosa Beach","Ca","Hermosa Beach, Ca  90266"
"420 Degrees","424-477-2502","420degreescollective@gmail.com","","Gardena","CA","Gardena, CA  90504"
"420 Degrees","424-477-2502","420degreescollective@gmail.com","","Gardena","CA","Gardena, CA  90504"
"Remedy Xpress","(424) 398-6151","Remedyxpress310@gmail.com","","Lawndale","California","Lawndale, California US 90260"
"The 710 Club - Open 24 Hours","424-387-6843","the710clubgardena@gmail.com","","Gardena","California","Gardena, California US 90247"
"Cannabees","424-744-7461","cannabees.delivery@gmail.com","http://cannabees.club","Los Angeles","CA","Los Angeles, CA  90278"
"Good Tree","562-315-8955","support@goodtreedelivery.com","http://GoodTreeDelivery.com","South Bay","California","South Bay, California US 90254"
"Remedy Xpress","(424) 398-6151","Remedyxpress310@gmail.com","","Manhattan Beach","California","Manhattan Beach, California US 90266"
"Holistic Healing Express","(310) 803-3754","gvdez88@gmail.com","https://holistichealingexpress.com/","Gardena","CA","Gardena, CA  90248"
"Seven Leaves Delivery","626-489-9491","sevenleavesdelivery@gmail.com","","South Bay","California","South Bay, California US 90247"
