"Business name","Phone","Email","Website","State","City","Address"
"Fire Patrol","(213) 249-3121","MedsOnWheels@gmail.com","","Downey","California","Downey, California US 90240"
"Green Tree Remedy","3238005420","sales@greentreeremedy.com","","South Gate","CA","South Gate, CA  90280"
"OG Maywood Delivery","323-208-9066","info@ogsinsemilla.delivery","http://www.OGMaywood.com","Downey","California","Downey, California US 90255"
"Rose Buds - Downey","562-616-2925","na@gmail.com","","Downey","CA","Downey, CA USA 90241"
"The Green Coma","3237430254","thegreencoma@gmail.com","","Downey","California","Downey, California US 90241"
"BudEx Delivery","626-554-4813","sgvbudex@yahoo.com","","South Gate","CA","South Gate, CA  90280"
"Divine Choice Delivery","562-743-9352","divinechoicedelivery@outlook.com","","South Gate","California","South Gate, California US 90280"
"Top Shelf Essentials","562-991-9470","topshelfessentials@yahoo.com","","Downey","CA","Downey, CA USA 90239"
"The Medicine Man (OPEN LATE)","310-951-6006","mundunugucaregivers@gmail.com","","Downey","California","Downey, California US 90242"
"Boston George","3238849387","bg6181969@gmail.com","","South Gate","CA","South Gate, CA  90280"
"OG Deliveries","5625653257","ogdeliveries@hotmail.com","","Downey","California","Downey, California US 90280"
"Green Bae Collective","323-578-2876","GreenBaeCollective@gmail.com","http://www.greenbaecollective.com","South Gate","California","South Gate, California US 90280"
"Good Tree","562-315-8955","support@goodtreedelivery.com","http://Goodtreedelivery.com","South Gate","California","South Gate, California US 90280"
"Puffy Delivery","562-362-6039","support@puffydelivery.com","http://puffydelivery.com","South Gate","California","South Gate, California US 90280"
"Krafted Strains","(562) 922-4439","MasterTheKraft@KraftedStrains.com","","Downey","CA","Downey, CA  90239"
"Kulture Kings","562-372-1496","kulturekings18@gmail.com","","Downey","CA","Downey, CA  90240"
"The Green Coma","626-723-8423","thegreencoma@gmail.com","","South Gate","California","South Gate, California US 90280"
"CANNAGOLD","5623023578","na@gmail.com","https://weedmaps.com/","South Gate","California","South Gate, California US 90280"
"McDabs Delivery","562-986-3787","express_ins@hotmail.com","","Downey","California","Downey, California US 90241"
"The Green Coma","2133029198","thegreencoma@gmail.com","","South Gate","California","South Gate, California US 90201"
"5 Star Delivery","323-240-9957","fivestardel@gmail.com","","South Gate","CA","South Gate, CA  90241"
"LA Green Run - South Gate / Lynwood / Huntington Park","562-991-0981","LAGREENRUN@gmail.com","","South Gate","California","South Gate, California US 90280"
"Geezy Kush","562-303-4200","geezykush.stayhigh@gmail.com","","Downey","California","Downey, California US 90241"
"Downey Medical Center","562-215-1708","TBD@gmail.com","","Downey","California","Downey, California US 90242"
"Moxie","310-594-6391","delivery@moxie710.com","http://moxie710.com","Lynwood","California","Lynwood, California US 90002"
"Euphoric Selectives","562) 383-7122","euphoricselectives@gmail.com","","Lynwood","California","Lynwood, California US 90262"
"Cannix","323-406-5833","management@dannyvisualstv.com","","Los Angeles","California","Los Angeles, California US 90255"
"Bell Gardens Medical Center","323-822-6482","420privatecluboc@gmail.com","","Bell Gardens","California","Bell Gardens, California US 90201"
"Weedrive2U - Downey","(562) 350-5637","weedrive2u@gmail.com","","Downey","California","Downey, California US 90241"
"The Highest Choice","5624508232","gsuarez1355@gmail.com","","Downey","California","Downey, California US 90241"
