"Business name","Phone","Email","Website","State","City","Address"
"March and Ash Delivery","760-624-7336","info@marchandash.com","https://marchandash.com/","El Centro","California","El Centro, California US 92243"
"Valley Meds","(442) 236-9947","valleymeds760@gmail.com","","El Centro","California","El Centro, California US 92243"
"Firetown Collective Inc.","760-554-6678","tmp@tmp.com","","El Centro","CA","El Centro, CA  92243"
"VALLEY GREEN RUSH, INC.","760-996-0469","valleygreenrush@gmail.com","http://www.valleygreenrush.webjoint.com","Imperial Valley","California","Imperial Valley, California US 92231"
"Three Greens Collective","7606932959","3greenscollective@gmail.com","http://www.threegreenscollective.com","Calexico","CA","Calexico, CA  92231"
"The Vibes","+1 (442) 456-5406","2019davibes@gmail.com","","El Centro","California","El Centro, California US 92243"
"HeadStasH","760-909-5251","thedoctorsordercollective@gmail.com","","El Centro","California","El Centro, California US 92243"
"The Finer Things Collective","(760)356-0620","thefinerthingscollective@gmail.com","","El Centro","California","El Centro, California US 92243"
"THC - The Healing Collective","760-996-9741","760thcdelivery@gmail.com","http://www.thcfastdelivery.com","El Centro","CA","El Centro, CA  92243"
"Flower Connection","(760) 604-2678","flowerconnectiondelivery@gmail.com","","El Centro","California","El Centro, California US 92227"
"KRONOS GENETICS","7608861234","kronosgenetics@gmail.com","","Calexico","California","Calexico, California US 92243"
"S.O.S.","619-832-4047","sosdeliveries1@gmail.com","","El Centro","California","El Centro, California US 92243"
"PremiumCannabisClub","(760)996-5211","PremiumCannabisClub@gmail.com","","El Centro","California","El Centro, California US 92243"
"Valley Cannabis Co.","7606556980","cannabakedeliveriesiv@gmail.com","","BRAWLEY","CA","BRAWLEY, CA  92227"
"Natural Remedies","760-425-0086","NaturalRemediesCannabis@gmail.com","http://www.naturalremediescannabis.com","El Centro","CA","El Centro, CA  92251"
"Desert Wellness","760-693-7665","desertbuds@gmail.com","http://www.desertbudz.com","El Centro","CA","El Centro, CA  92243"
"El Centro Cannabis","760-543-4167","smketrtx@yahoo.com","https://elcentrocannabis42.wixsite.com/website","El Centro","California","El Centro, California US 92243"
"Quest for Fire","(442) 271-6564","questforfire12@yahoo.com","https://nuggplug.com/listing/quest-for-fire/","El Centro","CA","El Centro, CA  92243"
"Imperial Valley Sanctuary","7605544146","imperialvalleysanctuary@gmail.com","https://www.imperialvalleysanctuary.com/","El Centro","California","El Centro, California US 92243"
"TOPS","760-556-2183","topzdelivery@gmail.com","","Brawley","California","Brawley, California US 92227"
"Imperial Valley Sanctuary","7605544146","imperialvalleysanctuary@gmail.com","https://www.imperialvalleysanctuary.com/","Calexo","California","Calexo, California US 92231"
"Green Remedies","442-232-1411 ","GreenRemedies2019@gmail.com","","El Centro","California","El Centro, California US 92243"
