"Business name","Phone","Email","Website","State","City","Address"
"Bento - Sunnyvale / Cupertino","415-862-3686","order@bento.delivery","http://www.bento.delivery","Sunnyvale","CA","Sunnyvale, CA  94087"
"MedMen Delivery - Sunnyvale","(408) 298-8837","info.sanjose@medmen.com","https://medmen.com/stores/san-jose-central-n-10th-and-commercial","Sunnyvale","California","Sunnyvale, California US 94087"
"Fresh Mint - Sunnyvale","(510) 692-5365","freshmintmd@gmail.com","http://www.freshmintmd.com","Sunnyvale","California","Sunnyvale, California US 95051"
"TOP SHELF EXPRESS","408 703 4420","topshelfhomedelivery@gmail.com","","Santa Clara","California","Santa Clara, California US 95050"
"MINT XPRESS now Enjoymint","(408) 627-7310","info@enjoymintdelivered.com","http://www.mintxpress.net","Santa Clara","California","Santa Clara, California US 94085"
"Lakeside Remedy-Sunnyvale","510-309-6981","lakesideremedy@gmail.com","http://www.lakesideremedy.com","Sunnyvale","California","Sunnyvale, California US 94087"
"3PMLIVE","408 332 7817","*Venders*mmj@3pmlive.com","","South Bay Area","CA","South Bay Area, CA USA 95050"
"10 Collective - Sunnyvale","4159665941","10collectivellc@gmail.com","https://10collective.org/","Sunnyvale","California","Sunnyvale, California US 94087"
"Black Label - Santa Clara","(408) 417-8815","blacklabelorganics408@gmail.com","","Sunnyvale","California","Sunnyvale, California US 94085"
"California Patients Club"," (510) 342 - 9655","californiapatientsclub@gmail.com","","Santa Clara","California","Santa Clara, California US 95050"
"Silicon Valley Medicinal","650-284-6262","siliconvalleymedicinal@gmail.com","http://www.svmedicinal.org","Santa Clara","California","Santa Clara, California US 95050"
"Bento - Sunnyvale","415-862-3686","order@bento.delivery","http://www.bento.delivery","Sunnyvale","California","Sunnyvale, California US 94087"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","Sunnyvale","CA","Sunnyvale, CA  94086"
"Green Room Nursery Collective","669-285-7071","grnc831@gmail.com","","Sunnyvale","CA","Sunnyvale, CA  95005"
"Happy Xpress","408-430-3389","emailhappyxpress@gmail.com","","Sunnyvale","California","Sunnyvale, California US 94087"
"Le Shoppe","408-858-2422","join@leshoppedelivery.org","","Sunnyvale","CA","Sunnyvale, CA  94087"
"MINT XPRESS - Santa Clara","(408) 785-1891","info@mintxpress.net","http://www.mintxpress.net","Santa Clara","California","Santa Clara, California US 94085"
"C3 Delivery","(510) 616-8381","C3DeliveryBay@gmail.com","http://C3Delivered.com","Santa Clara","California","Santa Clara, California US 94087"
"Ghost Delivery","408-908-9093","ghostdeliverysj@gmail.com","","San Jose","California","San Jose, California US 95008"
"Cali Xpress","415-295-6999","99oz@calixpress.org","http://www.calixpress.com","Sunnyvale","California","Sunnyvale, California US 94087"
"Silicon Valley Medicinal","650-284-6262","siliconvalleymedicinal@gmail.com","http://www.svmedicinal.org","Sunnyvale","California","Sunnyvale, California US 94085"
"Budee","(925)953-2850","contact@budee.org","http://www.budee.org","Santa Clara","California","Santa Clara, California US 95051"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","Santa Clara","CA","Santa Clara, CA US 95050"
"Go Medz","4089168446","GoMedz408@gmail.com","","Sunny Vale","California","Sunny Vale, California US 94043"
"Le Shoppe","(408) 858-2422","join@leshoppedelivery.org","","Sunnyvale","CA","Sunnyvale, CA US 94086"
"High Standards","415-999-9999","highstandards@gmail.com","","SunnyVale","California","SunnyVale, California US 94086"
"Overland","(844) 687-5263","info@overlanddelivery.com","","Sunnyvale","California","Sunnyvale, California US 94043"
"Le Shoppe","(408) 858-2422","leshoppecoop@gmail.com","","Santa Clara","CA","Santa Clara, CA US 95054"
"CBD Farmacy","4083804691","cbdfarmacyca@gmail.com","","San Jose","California","San Jose, California US 99999"
