"Business name","Phone","Email","Website","State","City","Address"
"SHEANNABIS - TEMECULA","9517583317","honeybubz@gmail.com","","Temecula","California","Temecula, California US 92530"
"WeedBell Delivery - Temecula","9514098388","hello@weedbell.com","http://weedbell.com","Temecula","California","Temecula, California US 92591"
"Lyftd","(951) 609-5074","420lyftd@gmail.com","","Temecula","California","Temecula, California US 92591"
"The High Church Delivery","(877) 766-5420","info@thehighchurch.com","http://thehighchurch.com","Temecula","California","Temecula, California US 92590"
"Hyperwolf - Temecula","951-200-2088","order@hyperwolf.com","http://Hyperwolf.com","Temecula","California","Temecula, California US 92592"
"DESERT DREAMS - DELIVERY","951-239-9875","desertdreamsmc@gmail.com","","Temecula","CA","Temecula, CA USA 92592"
"SoCAL Green Meds - Temecula","951-401-8020","patientinfo@socalgreenmeds.com","","Temecula","California","Temecula, California US 92592"
"11TH HOUR WELLNESS","951-285-6833","11thHourWellness@gmail.com","","Temecula","CA","Temecula, CA  92562"
"Mile High Supply","951-501-9009","MHSupplys@gmail.com","https://www.milehighsupplys.com/","Temecula","California","Temecula, California US 92591"
"Holiday Meds","951-409-5419","Holidaymeds420@gmail.com","","Temecula","California","Temecula, California US 92590"
"Above the Clouds Delivery","9514567300","gaspack951@gmail.com","","Temecula","California","Temecula, California US 92591"
"Express Delivery Service - Temecula","(951) 400-1563","expressdeliveryserviceco@gmail.com","","Temecula","California","Temecula, California US 92592"
"Green Bear Solutions","951-313-7921","greenbearmeds@gmail.com","","Temecula","CA","Temecula, CA  92592"
"CannaBeez","(951) 459-9743","cannabeez420@gmail.com","","Temecula","California","Temecula, California US 92592"
"Plants Not Pills","951-795-0782","plantsnotpills19@gmail.com","","Temecula","California","Temecula, California US 92592"
"Twisted Hope Collective - Temecula","951-331-8791","jaceace13@twistedhopecollective.com","http://twistedhopecollective.com","Temecula","California","Temecula, California United States 92563"
"J and B Caretakers","424 - 302-3002 ","jandbcaretakers@gmail.com","","Temecula","California","Temecula, California US 92591"
"Temecula Meds","7605322847","temeculameds@gmail.com","http://www.420mgmtservices.com","Temecula","California","Temecula, California US 92590"
"The Gas Station Delivery - Temecula","(909) 420-5214","tgsdelivery@yahoo.com","","Temecula","CA","Temecula, CA USA 92592"
"Kanna Club","(951) 595-5546  ","orderkannaclub@gmail.com","","Temecula","CA","Temecula, CA USA 92028"
"Alpha","951-662-0031","alphamedic.riv@gmail.com","","Temecula","California","Temecula, California US 92591"
"Healing nations 1/8 of gold crumble $100","(951) 795-3619","CLAIMDEALHN@GMAIL.COM","","Temecula","California","Temecula, California  92591"
"Cali Bear Concentrates","951-422-0154","calibearco@gmail.com","","Temecula","California","Temecula, California US 92592"
"Temecula Weed Country","(951) 216 9151","Temeculaweedcountry@gmail.com","","Temecula","California","Temecula, California US 92592"
"Higher Calling","951-269-9402","highercalling888@gmail.com","","Temecula","California","Temecula, California US 92592"
"Hempire Meds - Temecula","951-801-4200","Hempiremeds@gmail.com","","Temecula","CA","Temecula, CA USA 92591"
"Green Mile - Temecula","951-451-7238","greenmile951@gmail.com","","Temecula","California","Temecula, California US 92591"
"MCEC - Temecula","(760) 299-6232","customerservice@mcecdelivery.com","https://mcecdelivery.com/shopping-cart/","Temecula","California","Temecula, California US 92592"
"Dank Bank Collective","9095330065","superstickyy710@gmail.com","","Temecula","California","Temecula, California US 92592"
