"Business name","Phone","Email","Website","State","City","Address"
"High Tide Organics","(310) 853-0805","info@hightideorganics.org","http://www.hightideorg.com","Torrance","California","Torrance, California US 90277"
"COD CANNABIS ON DEMAND","3107205926","cannabisondemand710@gmail.com","https://greenlightapp.com/","Lomita","California","Lomita, California US 90717"
"Stone Age Farmacy Delivery - Torrance","(424) 368-1476","orders@stoneagefarmacy.com","https://stoneage.delivery","Lomita","California","Lomita, California US 90717"
"The W Delivery- Redondo Beach","1 (310) 567-0752","wproductionshq@gmail.com","","Torrance","California","Torrance, California US 90277"
"Green Tree Remedy - Lomita","3238005420","sales@greentreeremedy.com","","Lomita / Palos Verdes","California","Lomita / Palos Verdes, California US 90717"
"Higher Purpose Delivery - South Bay","(310) 561-9192","hpdsouthbay@gmail.com","http://HPDSOUTHBAY.COM","Redondo Beach","California","Redondo Beach, California US 90227"
"Budskies","310-946-0385","Budskieshq@gmail.com","http://Budskies.com","Torrance","California","Torrance, California US 90503"
"Green Tree Remedy","3238005420","sales@greentreeremedy.com","","Torrance","California","Torrance, California US 90503"
"Weedrive2U","(562) 350-5637","weedrive2u@gmail.com","","Redondo Beach","California","Redondo Beach, California US 90277"
"Remedy Xpress","(424) 398-6151","Remedyxpress310@gmail.com","","Torrance","California","Torrance, California US 90503"
"Hi Again","(310) 526-4027","Hiagaindelivery420@gmail.com","http://high-againstore.com","LOMITA","California","LOMITA, California US 90717"
"Canna Harbor -Lomita","1-424-305-4416","elevateharborcitydelivery@gmail.com","","Lomita","California","Lomita, California US 90717"
"GRASSDOOR","310.749.9135","support@grassdoor.com","http://www.grassdoor.com","Torrance","California","Torrance, California US 90505"
"Divine Choice Delivery","562-743-9352","divinechoicedelivery@outlook.com","","Torrance","California","Torrance, California US 90505"
"Canna Harbor - Torrance","1-424-305-4416","elevateharborcitydelivery@gmail.com","","Torrance","California","Torrance, California US 90501"
"Top Flight Organics - Torrance","323-219-1394","topflightorganics@gmail.com","","Redondo Beach","California","Redondo Beach, California US 90277"
"Good Tree","562-315-8955","support@goodtreedelivery.com","http://goodtreedelivery.com","Torrance","California","Torrance, California US 90501"
"South Bay Botanics","424-264-4135","southbaybotanics2019@gmail.com","","Torrance","California","Torrance, California US 90502"
"Budskies","310-946-0385","Budskieshq@gmail.com","https://budskies.com/","Lomita","California","Lomita, California US 90717"
"Puffy Delivery - Torrance","424-271-2399","support@puffydelivery.com","http://puffydelivery.com","Torrance","California","Torrance, California US 90277"
"420 Degrees","424-477-2502","420degreescollective@gmail.com","","Carson","CA","Carson, CA USA 90746"
"Mr Nugget","310-863-1937","mrnuggetdelivers@gmail.com","","Torrance","CA","Torrance, CA  Delivery"
"MoeGreenENERGY - Carson","562-349-4018","moegreenenergy@gmail.com","","Carson","CA","Carson, CA USA 90502"
"The House Of Ounces","213-909-4790","TheLAhouseofounces@gmail.com","","Torrance","California","Torrance, California US 90501"
"Speedy Delivery","424-306-9108","support@speedydelivery310.com","","Torrance","California","Torrance, California US 90501"
"Mary Couture Delivery Service","(310) 920-0136","marycouture1@gmail.com","https://www.instagram.com/marycouture1/","Lomita","California","Lomita, California US 90717"
"Remedy Xpress","(424) 398-6151","Remedyxpress310@gmail.com","","Redondo Beach","California","Redondo Beach, California US 90277"
"Sweet Jane Farms","424-350-6948","Sales@sweetjanefarms.com","http://www.sweetjanefarms.com","South Bay","CA","South Bay, CA  90278"
"Cannix","323-406-5833","management@dannyvisualstv.com","","Torrance","California","Torrance, California US 93001"
"Remedy Xpress","(424) 398-6151","Remedyxpress310@gmail.com","","Torrance","California","Torrance, California US 90505"
"ganjarunner","1-855-554-2652","contact@ganjarunner.com","http://ganjarunner.com","Torrance","California","Torrance, California US 90503"
"SB Delivery","310-927-3490","sbdeliveryservice@gmail.com","","Rolling Hills Estates","California","Rolling Hills Estates, California US 90274"
