"Business name","Phone","Email","Website","State","City","Address"
"Quality Meds Delivery","626-782-3270","qualitymedsdelivery@gmail.com","","Upland","California","Upland, California US 91748"
"Hyperwolf - Upland","(951) 200-2088","order@Hyperwolf.com","https://www.Hyperwolf.com","Upland","California","Upland, California US 91784"
"Reptar's Delivery-Upland","9516425899","highsky850@gmail.com","","Claremont","California","Claremont, California US 91711"
"Wings of Wellness","(909) 921-7447","wingsofwellnessie@gmail.com","http://wingsofwellnessie.com","Claremont","California","Claremont, California US 91711"
"Wako Bako","323-371-6171","wakobakoinc@gmail.com","http://wakobako.com","Upland","California","Upland, California US 91784"
"Golden leaf","818-726-0600","weedmaps@goldenleaf420.com","http://goldenleaf420.com","Upland","California","Upland, California US 91711"
"35 Cap PRC - Upland","(909) 242-9226","prc40cap@gmail.com","","Upland","CA","Upland, CA  91786"
"IE Greenmeds - Upland","909-243-0220","iegreenmeds@gmail.com","http://iegreenmeds.com/","Upland","CA","Upland, CA USA 91786"
"Special Blend Delivery","909-634-7553","specialblenddelivery@gmail.com","","Claremont","Ca","Claremont, Ca  91711"
"Pot Mates","6262067594","potmatesdelivery420@gmail.com","","Upland","California","Upland, California US 91711"
"Buderfly Delivery","909-438-7592","buderflydelivery@outlook.com","","Upland","CA","Upland, CA (Select a country) 91786"
"A1 Collective","626-598-0878","a1collectivea1@gmail.com","","Upland","CA","Upland, CA  91768"
"420 Lover","8189668333","love420smoker@gmail.com","","Upland/Claremont","California","Upland/Claremont, California US 91786"
"Best Remedy","626-371-5321","sgvbestremedy@yahoo.com","","Upland","CA","Upland, CA (Select a country) 91786"
"FTP Gifts Everyday","909-927-7795","ftpeveryday420@gmail.com","","Upland","California","Upland, California US 91711"
"True Medical Health Care, Inc.","909-758-1046","truemedicalhealthcare@gmail.com","http://www.truemedicalhealthcare.com","Upland","CA","Upland, CA USA 91784"
"Pot Mates","6262067594","potmatesdelivery420@gmail.com","","Upland","California","Upland, California US 91784"
"Connoisseur Club Upland","909-703-5222","Connoisseurclubs@gmail.com","","Upland","California","Upland, California US 91786"
"Sweet Dreams Delivery","(213)-362-8574","WeHaveSweetDreams@Gmail.com","","Upland","California","Upland, California US 91786"
"Pot Mates","6262067594","potmatesdelivery420@gmail.com","","Upland","California","Upland, California US 91711"
"The Highest Choice","(626) 413-2682","thehighestchoice@gmail.com","","Upland","California","Upland, California US 91786"
"Green Pinnacle","909-345-4373","GreenPinnacle420@gmail.com","","Claremont","CA","Claremont, CA USA 91711"
"The Petro Shop","909-600-3982","thepetroshop@gmail.com","","Upland","California","Upland, California US 91786"
"Best Coast Delivery","909-306-9579","bestcoastdelivery909@gmail.com","","Upland","California","Upland, California US 91784"
"Green Mind Solutions","9092425053","greenmindsolutions@outlook.com","","Upland","CA","Upland, CA USA 91786"
"Mr. Chowws Remedies","909-706-5526","MrChowwsRemedies@Yahoo.com","","claremont","ca","claremont, ca  91711"
"ARC Collective","9092876898","ohmygreens@gmail.com","","Upland","California","Upland, California US 91711"
"Cured Delivery","(909) 329-7809","thecurecollectivee@gmail.com","","Upland","California","Upland, California US 91784"
"Nurse K","(888) 463-3155","nursek420@gmail.com","","Upland","CA","Upland, CA  91784"
"PDC","909-757-3336","pdcollective100@gmail.com","","Upland","California","Upland, California US 91762"
"So Cal Members","9092696783 TEXTONLY","SoCalMembers420@Gmail.com","","Claremont","California","Claremont, California US 91711"
