"Business name","Phone","Email","Website","State","City","Address"
"The Natural Fix - Vacaville","707-580-1522 707-365-5104","thenaturalfix18@gmail.com","","Vacaville","California","Vacaville, California US 95687"
"VHHC Delivery - Vacaville"," (707) 652-5018","vhhc420@gmail.com","http://www.vhhc420.org","Vacaville","California","Vacaville, California US 95688"
"The Good People Farms","530-758-9333","info@thegoodpeoplefarms.com","https://www.TheGoodPeoplefarms.com","Vacaville","California","Vacaville, California US 95688"
"GRO","707-631-4096","hello@gro.life","http://www.gro.life","Vacaville","California","Vacaville, California US 95687"
"I Heart Canna - Vacaville","1 (844) 882-2662","iheartcannasolano@gmail.com","https://iheartcanna.club/solano-menu/","Vacaville","CA","Vacaville, CA USA 95678"
"The Higher Collection","707-430-8617","info@highercollection.com","","Vacaville","California","Vacaville, California US 95687"
"Green Life Vacaville","530-802-0072","orders@gldelivery.com","http://gldelivery.com","Vacaville","California","Vacaville, California US 95687"
"Tree4Life Mobile Dispensary","(707) 419 2934","tree4lifemedical@gmail.com","","Vacaville","California","Vacaville, California US 95687"
"Mountain High Recreation","(916) 673-7100","mountainhighrec@gmail.com","http://www.mountainhighrec.com","Vacaville","CA","Vacaville, CA  95688"
"Silverstreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Vacaville","CA","Vacaville, CA  95688"
"MCPG Happy Herbs Delivery Service - Vacaville","707 567-1790","mcpgmembership@gmail.com","","Vacaville","California","Vacaville, California US 95687"
"Docs Greenhouse","7072874906","docsgreenhouse@yahoo.com","","Vacaville","California","Vacaville, California US 95687"
"Your Local Plug","(707) 8033258","green.bud.plug@gmail.com","","Vacaville","California","Vacaville, California US 95687"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Vacaville","California","Vacaville, California US 95688"
"Reggie's Gas House","(707) 514-9399","reggiesgashouse707@gmail.com","","Vacaville","California","Vacaville, California US 95688"
"Happy Hour Holistics","(707) 515-0983","happyhourfarmz@gmail.com","","Vacaville","California","Vacaville, California US 95687"
"Urban Flavours Delivery - Vacaville","(855) 205-3380","orders@urbanflavoursdelivery.com","https://urbanflavoursdelivery.com","Vacaville","California","Vacaville, California US 95688"
"Cookie King Delivery","415-756-1474","cookiekingsdelivery@gmail.com","","Napa","California","Napa, California US 95688"
"Royal Greens","(510) 491-0899","info@royalgreens.shop","","Vacaville","California","Vacaville, California US 95687"
"Buds Galaxy","707-655-5935","allaboutthebiz100@gmail.com","","Vacaville","California","Vacaville, California US 95687"
"Budee","925-953-2850","contact@budee.org","http://www.budee.org","Vacaville","California","Vacaville, California US 95688"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Vacaville","California","Vacaville, California US 95687"
"Humble Root","916-793-5182","orders@humbleroot.com","http://www.humbleroot.com","Vacaville","California","Vacaville, California US 95687"
