"Business name","Phone","Email","Website","State","City","Address"
"High Tide Organics","310-853-0805","info@hightideorganics.org","http://www.hightideorg.com","Venice","CA","Venice, CA (Select a country) 90291"
"The Pottery Delivery","424-256-5388","soco.losangeles@gmail.com","http://thepottery.delivery","Venice","CA","Venice, CA USA 90066"
"GRASSDOOR","310.749.9135","support@grassdoor.com","http://www.grassdoor.com","Venice","California","Venice, California US 90291"
"MedMen Delivery - Venice","(424) 330-7232","info.ak@medmen.com","https://medmen.com/stores/venice-beach-abbot-kinney","Venice","California","Venice, California US 90291"
"Golden Leaf","424-444-3363","weedmaps@goldenleaf420.com","http://goldenleaf420.com","Venice","California","Venice, California US 90291"
"Westside Botanicals","310-433-9393","wsbotanicals@gmail.com","","Venice","California","Venice, California  90291"
"Mr Nugget","(310) 863-1937 ","mrnuggetdelivers@gmail.com","","Venice","CA","Venice, CA  Delivery"
"WeeDeals","+1 (323) 9556947","weedeliver420la@gmail.com","","Los Angeles","CA","Los Angeles, CA  90046"
"Good Tree","562-315-8955","support@goodtreedelivery.com","","Los Angeles","California","Los Angeles, California US 90292"
"FLOWER CO.","415-360-0896","hello@flowercompany.com","https://www.flowercompany.com","Venice","California","Venice, California US 90291"
"Sunny Buds","424-256-5346","sunnybudsdeliveryservice@gmail.com","","Venice","CA","Venice, CA (Select a country) 90291"
"Xaler Delivery","424-261-9333","xalercollective@gmail.com","","Venice","CA","Venice, CA USA 90291"
"Puffy Delivery - Venice","424-228-8352","support@puffydelivery.com","http://puffydelivery.com","Venice","California","Venice, California US 90291"
"Hyperwolf - Venice 2.0","310-566-8384","order@HyperWolf.com","http://www.HyperWolf.com","Los Angeles","California","Los Angeles, California US 90066"
"Metro Green Meds - Venice","310-261-8827","MGMmeds@gmail.com","http://metrogreenmeds.com","Venice","California","Venice, California US 90291"
"Xaler Delivery","424-261-9333","xalercollective@gmail.com","","Venice","California","Venice, California US 90291"
"DR Kush Delivery","818) 855-0602","drkushdelivery@gmail.com","","Venice Beach","Ca","Venice Beach, Ca  90291"
"LuvBrite Delivery","310-697-2611","info@luvbrite.com","http://www.luvbrite.com","Venice","CA","Venice, CA  90066"
"Blazers","(310) 913-9418","4LABlazers@gmail.com","","Marina Del Rey","ca","Marina Del Rey, ca US 90292"
"VIP LA","323-334-5153","VeryImportantPatients@gmail.com","","Venice","California","Venice, California US 90292"
"Westside Organic Delivery","310-309-9752","support@westsideorganicdelivers.com","https://www.westsideorganicdelivers.com/","Venice","CA","Venice, CA  90291"
"420 CaliWeed","(424) 625-4460","laxcaliweed@gmail.com","http://420caliweed.com/","Marina Del Ray","CA","Marina Del Ray, CA  90292"
"KUSHAGRAM - Venice","323-739-1134","donations@kushagram.com","http://kushagram.com","Venice","California","Venice, California US 90291"
"KUSHAGRAM - Marina Del Rey","323-739-1134","donations@kushagram.com","http://kushagram.com","Marina Del Rey","California","Marina Del Rey, California US 90292"
"Cannabees","424-744-7461","cannabees.delivery@gmail.com","http://cannabees.club","Los Angeles","California","Los Angeles, California US 90291"
"Cali Coast Delivery","510-325-6617","registration@calicoast420.com","https://www.calicoast420.com","Venice","California","Venice, California US 90291"
"Honor Roll Delivery","(888) 884-7229","honorrolldelivery@gmail.com","http://www.honorrolldelivery.com","Venice","California","Venice, California US 90291"
"Venice Buds Delivery- Venice","747-777-2275","venicebudsdelivery@gmail.com","","Venice Beach","California","Venice Beach, California US 90066"
"EZ Serve","310-272-0523","ezserve@hotmail.com","","Marina del rey","California","Marina del rey, California US 90291"
