"Business name","Phone","Email","Website","State","City","Address"
"TriComb Therapies","(760) 490-6689","TriCombTherapies@gmail.com","http://www.tricombtherapy.com","Victorville","California","Victorville, California US 92395"
"Global Meds - Victorville","760-490-5996","globalmeds420@gmail.com","","Victorville","California","Victorville, California US 92395"
"Greencross","760-998-8280 ","greencrosshesperia@gmail.com","","Victorville","California","Victorville, California US 92392"
"OG Discount Pharmacy - Victorville","7606849796","710kushjunkies420@gmail.com","","Victorville","California","Victorville, California US 92392"
"House of Exotics","760-628-4926","Hoexo77@gmail.com","","Victorville","California","Victorville, California US 92394"
"Masterpiff Collective","(909) 226-4772","wehavenoemail@aol.com","","Victorville","California","Victorville, California US 92395"
"Revive","442 247 1043","WellnessDelivered64@gmail.com","","Victorville","California","Victorville, California US 92392"
"GREEN IS GOOD","760-937-4179","GreenIsGoodinc@gmail.com","","Victorville","California","Victorville, California US 92395"
"Discount Dank","(760) 552-2447","discountdankhd@gmail.com","","Victorville","CA","Victorville, CA  92392"
"Green Tree Health Healing","7602614229","gthhc@yahoo.com","","Victorville","CA","Victorville, CA USA 92392"
"HDFC","7604197446","abc@gmail.com","","Victorville","California","Victorville, California US 92395"
"Sunshine Meds - Victorville","(760) 208-4477","sunshinemedsinfo@gmail.com","http://sunshinemeds420.com","Victorville","California","Victorville, California US 92395"
"REHAB Delivery","4422679282","rehabdelivery@gmail.com","http://www.rehabdeliveries.com","Victorville","California","Victorville, California US 92392"
"SHATTER DABS INC","7602781581","shatterdabs88@gmail.com","","Victorville","CA","Victorville, CA  92395"
"Patient's Choice","(760)987-7004","patientschoicecollectivehd@gmail.com","","Victorville","California","Victorville, California US 92395"
"Keep It Green","(760) 992-1942","keepitgreenFTP@hotmail.com","","VICTORVILLE","California","VICTORVILLE, California US 92394"
"Golden Bear Crew","(760)713-3925","mysticmountains.inc@gmail.com","","Victorville","California","Victorville, California US 92392"
"iLLest Buds","7605536154","tycollections@mail.com","","Victorville","CA","Victorville, CA USA 92301"
"Members Only","760-555-1212","nobody@gmail.com","","Victorville","California","Victorville, California US 92392"
"New Era Solutionz","4422299394","newerasolutions70@gmail.com","","Victorville","California","Victorville, California US 92395"
"Pretty High Delivery","760-790-8715","prettyhighdelivery@gmail.com","","Victorville","California","Victorville, California US 92301"
"Green Scorpion","760-867-0888","greenscorpion760@gmail.com","https://www.greenscorpionorganics.com/","Victorville","California","Victorville, California US 92301"
"Homeboy Delivery","727-278-3670","HomeboyDelivery@gmail.com","","Victorville","CA","Victorville, CA USA 92392"
"Empire Fire"," 760-628-6604","empirefire2019@gmail.com","","Victorville","CALIFORNIA","Victorville, CALIFORNIA United States 92392"
"Better Healing Meds","951-425-9281","betterhealingmeds@yahoo.com","","Victorville","California","Victorville, California US 92392"
"The Highest Choice","7602696446","thehighestchoice@gmail.com","","Victorville","California","Victorville, California US 92395"
"Life Is Good Healing","760-646-6879","lghealing@yahoo.com","http://lifeisgoodhealing.com/","Victorville","CA","Victorville, CA  92395"
"MCEC - Victorville","760-299-6232","customerservice@mcecdelivery.com","http://www.mcecdelivery.com","Victorville","California","Victorville, California US 92392"
"OG Cannabis - Victorville","760-760-4000","info@ogcannabis.com","https://www.ogcannabis.com","Victorville","CA","Victorville, CA USA 92393"
