"Business name","Phone","Email","Website","State","City","Address"
"Sticky Selections","7606172340","Stickyselection710@gmail.com","","Vista","California","Vista, California US 92083"
"West Coast Farms","7602074596","onthemove92084@gmail.com","","Vista","California","Vista, California US 92084"
"Exclusive Budz","858.366.5381","ebdeliveryco@gmail.com","","Vista","California","Vista, California US 92083"
"Speedy Weedy Delivery","(657)-333-3336","info@speedyweedydelivery.com","https://speedyweedydelivery.com","Vista","California","Vista, California US 92081"
"Fuego Meds","619-396-4621","fuegomeds420@gmail.com","","Vista","California","Vista, California US 92084"
"Bud Rush","760-270-0036","budrush760@gmail.com","","Vista","California","Vista, California US 92083"
"Cess","760-848-3631","cess@toke.com","","Vista","California","Vista, California US 92084"
"Empire Meds Delivery","619-380-6132","empiremedsdelivery@gmail.com","","Vista","California","Vista, California US 92083"
"Dankology- Vista","619-504-8134","DANKOLOGYSD@GMAIL.COM","","Vista","California","Vista, California US 92081"
"House Of Dank","619-383-4740","houseofdank@yahoo.com","","Vista","California","Vista, California US 92083"
"The High Church Vista","(877) 766-5420","info@thehighchurch.com","http://www.thehighchurch.com","Vista","CA","Vista, CA  92081"
"Extraction - Vista","949-375-8936","extraction420@gmail.com","","Vista","CA","Vista, CA USA 92084"
"Superfly Delivery","858-717-0563","superflydeliverysd@gmail.com","","Vista","California","Vista, California US 92083"
"Modern Medicine Delivery","760-575-4020","modernmedicinedelivers@gmail.com","","Vista","CA","Vista, CA USA 92056"
"The Gas Station Delivery - Vista","1 (909) 420-5214","tgsdelivery@yahoo.com","","Vista","Ca","Vista, Ca  92081"
"Puffy Delivery","760-407-6145","support@puffydelivery.com","http://puffydelivery.com","Vista","California","Vista, California US 92084"
"Budzilla","619-836-0619","BudzillaSD619@protonmail.com","","Vista","CA","Vista, CA  92024"
"Super Nova Meds","619-322-8087","supernovameds@yahoo.com","","Vista","California","Vista, California US 92084"
"Weden (fka M Delivers)","1-800-CANNABIS","wecare@weden.com","http://www.weden.com","Vista","California","Vista, California US 92081"
