"Business name","Phone","Email","Website","State","City","Address"
"JWC Deliveries -Recreational"," 530-844-8856","jwcdelivery@gmail.com","http://www.jwcdeliveries.co","Yuba and Sutter County","California","Yuba and Sutter County, California US 95691"
"Hidden Treasure","(916) 995-0550","HIDDENTREASUREDELIVERY.CA@GMAIL.COM","","Yuba City","California","Yuba City, California US 95991"
"Mountain High Recreation","(916) 673-7100","mountainhighrec@gmail.com","http://www.mountainhighrec.com","Yuba City","CA","Yuba City, CA USA 95991"
"MaryJane's Medical Center","5304918739","Mary420Janes@icloud.com","","Marysville","CA","Marysville, CA  95901"
"Sticky Trees - Recreational and Medical","530-441-7500","Sticky.Trees.530@gmail.com","","Meridian","California","Meridian, California US 95957"
"Top Shelf Delivery Service / CBD Wellness","530-701-3743","tscollectivechico@gmail.com","","Yuba City","CA","Yuba City, CA  95991"
"A-1 Reliable Delivery","530-812-5242","GrandmaSunshine2018@gmail.com","http://a1reliable.nuggmd.com","Marysville","CA","Marysville, CA  95901"
"Bud Brothers","(530) 8451070","budbrothersdisp@gmail.com","","Yuba City","California","Yuba City, California US 95991"
"Silverstreak Solutions","916 741-7339","silverstreakdispatch@gmail.com","http://www.silverstreaksolution.com","Yuba City","CA","Yuba City, CA  95991"
"H.I.S Delivery","(530) 599-0239","his@gmail.com","","Yuba City","California","Yuba City, California US 95991"
"Earthman Meds","(530) 645-9956","earthmanmedsyc@gmail.com","","Yuba City","CA","Yuba City, CA USA 95991"
"Canna Delivers - Yuba City","530-845-5292","info@cannadelivers.com","http://www.cannadelivers.com/","Yuba City","California","Yuba City, California US 95991"
"RingingSeeders","530-923-0126","RingingSeeders@gmail.com","http://RingingSeeders.com","Yuba City","Ca","Yuba City, Ca  95991"
"Sacramento Confidential Delivery","5306459928","Scdprop215@gmail.com","","Yuba City","California","Yuba City, California US 95991"
