"Business name","Phone","Email","Website","State","City","Address"
"Mojave Med","760-620-8783","mojavemed@gmail.com","","Yucca Valley","CA","Yucca Valley, CA  92252"
"Beach House Collective","760-401-5141","beachhouseyv@gmail.com","","Yucca Valley","California","Yucca Valley, California US 92284"
"TreeHouse Preserves","951-421-2683","osd420@gmail.com","","Yucca Valley","California","Yucca Valley, California US 92277"
"GREEN QUEEN","760-831-5950","BURNERSINC420@GMAIL.COM","","Yucca Valley","CA","Yucca Valley, CA USA 92284"
"Kali Care Delivery","(909) 737-8063","calicare420@gmail.com","","Yucca Valley","CA","Yucca Valley, CA  92284"
"Wild Fire Co","(760) 600-9759","wildfirecoca@gmail.com","","Yucca Valley","CA","Yucca Valley, CA USA 92284"
"SMILEYS","7606009759","smileysdelivers@gmail.com","","YUCCA VALLEY","California","YUCCA VALLEY, California US 92284"
"Desert Dankz","(909) 737-4875","Desertdankz420@gmail.com","","Yucca valley","California","Yucca valley, California US 92284"
"GMGP","7602172132","greatmedsgreatprices@gmail.com","","Joshua Tree","CA","Joshua Tree, CA  92252"
"Mojave Med","760-620-8783","mojavemed@gmail.com","https://www.mojavemed.com/","New Inventory!!","CA","New Inventory!!, CA  92277"
"The Great Provide","7604421669","thegreatprovide420@gmail.com","","Yucca Valley","CA","Yucca Valley, CA  92284"
